Date,Weighted_NDVI,Total_Pixels,Average_NDVI
2016-12-22,2425654.57484212,5312887,0.4565605432304734
2017-01-01,2755892.642422128,5832897,0.47247407976210243
2017-01-11,3244417.9077732572,6536359,0.4963647051475075
2017-02-10,3806668.0882552736,6646725,0.5727133420226161
2017-02-20,5069055.076720211,8712842,0.5817912314627317
2017-03-02,4098210.9088027114,7078676,0.5789516159240388
2017-03-12,5901077.47710154,9539535,0.6185917318927537
2017-04-01,6336397.042243717,11381235,0.5567407264891479
2017-04-11,5819891.746437615,11079007,0.5253080665476261
2017-05-01,522835.4062298991,1373705,0.3806023900545598
2017-05-11,6465266.080664458,11378776,0.568186427139831
2017-05-21,3658067.1935361912,7310202,0.5004057608170324
2017-05-31,3618874.1608078303,7460312,0.485083487233219
2017-06-20,4725697.082143736,9511861,0.4968215033991493
2017-07-10,1506864.1416528795,4098848,0.3676311348098001
2017-07-20,5789612.346206094,11382167,0.5086564224726359
2017-07-30,2055026.2268160367,5505828,0.3732456275088936
2017-08-09,5286656.341368565,11361468,0.4653145475011297
2017-08-19,5011403.3719429225,11380984,0.44033129050554176
2017-09-08,4198851.433578259,10871049,0.3862416068199361
2017-09-18,1893075.5999246032,6400356,0.2957766099142928
2017-09-28,3470083.635440428,10036428,0.3457488695620023
2017-10-08,2556999.678857407,7790463,0.328221785901224
2017-10-28,4811565.486243518,11292764,0.42607509430317664
2017-11-07,4960907.82185902,10429796,0.4756476370064208
2017-11-17,2885954.464145475,5699285,0.5063713192348646
2017-11-27,4083434.332277013,7929545,0.5149645196889624
2017-12-07,6639483.151056787,11228968,0.5912816877790361
2017-12-17,4609554.59826536,8210471,0.5614238937407319
2017-12-27,4837782.952181412,9276488,0.5215101827525042
2018-01-06,3146726.0678223833,6744517,0.46656062514519325
2018-01-26,2286962.4819180598,4850375,0.4715021997099317
2018-02-15,347912.15949036134,603215,0.5767631101520375
2018-03-17,5098056.011114228,8713074,0.585104179204059
2018-04-16,1901245.3300140614,3690145,0.5152223909938665
2018-04-26,7297010.068721522,11364444,0.6420912513380788
2018-05-06,2293551.334030233,4665504,0.49159776393509313
2018-05-26,1599495.8437205092,3398013,0.4707150454458265
2018-06-05,6370486.120122798,11374835,0.5600508596496386
2018-06-15,4871620.848528111,10025921,0.48590257678353055
2018-06-25,2294859.9052759344,5746203,0.39936979345768575
2018-07-05,3404761.0403815834,8270877,0.41165659220679784
2018-07-15,5395496.083730559,11367847,0.47462778868598066
2018-07-25,4780931.258084454,11041495,0.4329967326059065
2018-08-04,3968692.8557972857,9932814,0.39955372725164146
2018-08-14,4016798.304819596,10363007,0.38760934010944853
2018-08-24,4272614.538878292,11067336,0.3860562775792017
2018-09-03,4533439.1494511515,11379447,0.39838835309406084
2018-09-13,2273313.1859761365,7372416,0.308353894568095
2018-10-03,2080486.1014775403,6748853,0.3082725466797899
2018-10-23,2068565.0016414395,7109538,0.2909563183488772
2018-11-02,2806870.1686505587,8920276,0.3146618073981745
2018-11-12,2860460.068437936,9223771,0.31011828767625904
2018-11-22,2507050.587409694,8287155,0.30252246849608755
2018-12-02,2702962.195745215,9636971,0.28047839883976144
2019-01-01,630702.4362959317,1341567,0.4701236958690335
2019-01-21,3968223.2716138395,7143632,0.5554909983624352
2019-02-20,6741475.620354059,11377993,0.5925012979313715
2019-03-02,4399046.778812689,7658292,0.5744161725372562
2019-03-12,7057450.276906621,11320317,0.6234322127999261
2019-04-11,2669425.071367769,4995124,0.5344061671677758
2019-04-21,852832.4221105062,1821404,0.46822803843107086
2019-05-01,1525728.959618187,3277437,0.4655250305705913
2019-05-11,7024295.85480935,11338438,0.6195117753264912
2019-05-21,2436409.3153129155,4529281,0.5379240800720723
2019-06-10,871554.0730371041,1996003,0.4366496809058424
2019-06-20,6718633.885682899,11375237,0.5906368267916439
2019-06-30,6198441.895759294,11118680,0.5574800152319604
2019-07-20,6205804.42906041,11374060,0.545610312330022
2019-07-30,3517952.113194229,7288543,0.4826687738817249
2019-08-09,6002449.815800013,11371449,0.5278526787395356
